"id";"khuvuc_hethong";"khuvuc";"hethong";"giamua";"giaban";"ngaycapnhat";"isdelete";"expiredate"
1;"1";"1";"1";66600000.0;67600000.0;6537;"false";6537
2;"2";"1";"2";66600000.0;67500000.0;6537;"false";6537
3;"3";"1";"3";66600000.0;67500000.0;6537;"false";6537
4;"4";"1";"4";66600000.0;67600000.0;6537;"false";6537
5;"5";"2";"1";66600000.0;67620000.0;6537;"false";6537
6;"6";"2";"2";66600000.0;67500000.0;6537;"false";6537
7;"7";"2";"5";66620000.0;67480000.0;6537;"false";6537
8;"8";"2";"3";66600000.0;67500000.0;6537;"false";6537
9;"9";"3";"1";66600000.0;67620000.0;6537;"false";6537
10;"10";"3";"2";66600000.0;67500000.0;6537;"false";6537
11;"11";"4";"1";66600000.0;67620000.0;6537;"false";6537
12;"12";"5";"1";66600000.0;67620000.0;6537;"false";6537
13;"13";"6";"1";66570000.0;67630000.0;6537;"false";6537
14;"14";"7";"1";66580000.0;67620000.0;6537;"false";6537
15;"15";"8";"1";66600000.0;67600000.0;6537;"false";6537
16;"16";"9";"1";66600000.0;67600000.0;6537;"false";6537
17;"17";"10";"1";66600000.0;67600000.0;6537;"false";6537
18;"18";"11";"1";66620000.0;67650000.0;6537;"false";6537
19;"19";"12";"1";66600000.0;67620000.0;6537;"false";6537
20;"20";"13";"1";66580000.0;67620000.0;6537;"false";6537
21;"21";"14";"1";66580000.0;67620000.0;6537;"false";6537
22;"22";"15";"1";66580000.0;67620000.0;6537;"false";6537
23;"23";"16";"1";66580000.0;67620000.0;6537;"false";6537
24;"24";"9";"2";66800000.0;67600000.0;6537;"false";6537
25;"25";"17";"4";66600000.0;67600000.0;6537;"false";6537
26;"1";"1";"1";66600000.0;67600000.0;6537;"false";6538
27;"2";"1";"2";66600000.0;67500000.0;6537;"false";6538
28;"3";"1";"3";66600000.0;67500000.0;6537;"false";6538
29;"4";"1";"4";66600000.0;67600000.0;6537;"false";6538
30;"5";"2";"1";66600000.0;67620000.0;6537;"false";6538
31;"6";"2";"2";66600000.0;67500000.0;6537;"false";6538
32;"7";"2";"5";66620000.0;67480000.0;6537;"false";6538
33;"8";"2";"3";66600000.0;67500000.0;6537;"false";6538
34;"9";"3";"1";66600000.0;67620000.0;6537;"false";6538
35;"10";"3";"2";66600000.0;67500000.0;6537;"false";6538
36;"11";"4";"1";66600000.0;67620000.0;6537;"false";6538
37;"12";"5";"1";66600000.0;67620000.0;6537;"false";6538
38;"13";"6";"1";66570000.0;67630000.0;6537;"false";6538
39;"14";"7";"1";66580000.0;67620000.0;6537;"false";6538
40;"15";"8";"1";66600000.0;67600000.0;6537;"false";6538
41;"16";"9";"1";66600000.0;67600000.0;6537;"false";6538
42;"17";"10";"1";66600000.0;67600000.0;6537;"false";6538
43;"18";"11";"1";66620000.0;67650000.0;6537;"false";6538
44;"19";"12";"1";66600000.0;67620000.0;6537;"false";6538
45;"20";"13";"1";66580000.0;67620000.0;6537;"false";6538
46;"21";"14";"1";66580000.0;67620000.0;6537;"false";6538
47;"22";"15";"1";66580000.0;67620000.0;6537;"false";6538
48;"23";"16";"1";66580000.0;67620000.0;6537;"false";6538
49;"24";"9";"2";66800000.0;67600000.0;6537;"false";6538
50;"25";"17";"4";66600000.0;67600000.0;6537;"false";6538
51;"1";"1";"1";66700000.0;67700000.0;6538;"false";6538
52;"2";"1";"2";66900000.0;67700000.0;6538;"false";6538
53;"3";"1";"3";66500000.0;67500000.0;6538;"false";6538
54;"4";"1";"4";66700000.0;67500000.0;6538;"false";6538
55;"5";"2";"1";66700000.0;67720000.0;6538;"false";6538
56;"6";"2";"2";66900000.0;67700000.0;6538;"false";6538
57;"7";"2";"5";66620000.0;67480000.0;6538;"false";6538
58;"8";"2";"3";66500000.0;67500000.0;6538;"false";6538
59;"9";"3";"1";66700000.0;67720000.0;6538;"false";6538
60;"10";"3";"2";66900000.0;67700000.0;6538;"false";6538
61;"11";"4";"1";66700000.0;67720000.0;6538;"false";6538
62;"12";"5";"1";66700000.0;67720000.0;6538;"false";6538
63;"13";"6";"1";66670000.0;67730000.0;6538;"false";6538
64;"14";"7";"1";66680000.0;67720000.0;6538;"false";6538
65;"15";"8";"1";66700000.0;67700000.0;6538;"false";6538
66;"16";"9";"1";66700000.0;67700000.0;6538;"false";6538
67;"17";"10";"1";66700000.0;67700000.0;6538;"false";6538
68;"18";"11";"1";66720000.0;67750000.0;6538;"false";6538
69;"19";"12";"1";66700000.0;67720000.0;6538;"false";6538
70;"20";"13";"1";66680000.0;67720000.0;6538;"false";6538
71;"21";"14";"1";66680000.0;67720000.0;6538;"false";6538
72;"22";"15";"1";66680000.0;67720000.0;6538;"false";6538
73;"23";"16";"1";66680000.0;67720000.0;6538;"false";6538
74;"24";"9";"2";66900000.0;67700000.0;6538;"false";6538
75;"25";"17";"4";66700000.0;67500000.0;6538;"false";6538
76;"1";"1";"1";66700000.0;67700000.0;6538;"false";6538
77;"2";"1";"2";66900000.0;67700000.0;6538;"false";6538
78;"3";"1";"3";66500000.0;67500000.0;6538;"false";6538
79;"4";"1";"4";66700000.0;67500000.0;6538;"false";6538
80;"5";"2";"1";66700000.0;67720000.0;6538;"false";6538
81;"6";"2";"2";66900000.0;67700000.0;6538;"false";6538
82;"7";"2";"5";66620000.0;67480000.0;6538;"false";6538
83;"8";"2";"3";66500000.0;67500000.0;6538;"false";6538
84;"9";"3";"1";66700000.0;67720000.0;6538;"false";6538
85;"10";"3";"2";66900000.0;67700000.0;6538;"false";6538
86;"11";"4";"1";66700000.0;67720000.0;6538;"false";6538
87;"12";"5";"1";66700000.0;67720000.0;6538;"false";6538
88;"13";"6";"1";66670000.0;67730000.0;6538;"false";6538
89;"14";"7";"1";66680000.0;67720000.0;6538;"false";6538
90;"15";"8";"1";66700000.0;67700000.0;6538;"false";6538
91;"16";"9";"1";66700000.0;67700000.0;6538;"false";6538
92;"17";"10";"1";66700000.0;67700000.0;6538;"false";6538
93;"18";"11";"1";66720000.0;67750000.0;6538;"false";6538
94;"19";"12";"1";66700000.0;67720000.0;6538;"false";6538
95;"20";"13";"1";66680000.0;67720000.0;6538;"false";6538
96;"21";"14";"1";66680000.0;67720000.0;6538;"false";6538
97;"22";"15";"1";66680000.0;67720000.0;6538;"false";6538
98;"23";"16";"1";66680000.0;67720000.0;6538;"false";6538
99;"24";"9";"2";66900000.0;67700000.0;6538;"false";6538
100;"25";"17";"4";66700000.0;67500000.0;6538;"false";6538
101;"1";"1";"1";66700000.0;67700000.0;6538;"false";6538
102;"2";"1";"2";66900000.0;67700000.0;6538;"false";6538
103;"3";"1";"3";66500000.0;67500000.0;6538;"false";6538
104;"4";"1";"4";66700000.0;67500000.0;6538;"false";6538
105;"5";"2";"1";66700000.0;67720000.0;6538;"false";6538
106;"6";"2";"2";66900000.0;67700000.0;6538;"false";6538
107;"7";"2";"5";66620000.0;67480000.0;6538;"false";6538
108;"8";"2";"3";66500000.0;67500000.0;6538;"false";6538
109;"9";"3";"1";66700000.0;67720000.0;6538;"false";6538
110;"10";"3";"2";66900000.0;67700000.0;6538;"false";6538
111;"11";"4";"1";66700000.0;67720000.0;6538;"false";6538
112;"12";"5";"1";66700000.0;67720000.0;6538;"false";6538
113;"13";"6";"1";66670000.0;67730000.0;6538;"false";6538
114;"14";"7";"1";66680000.0;67720000.0;6538;"false";6538
115;"15";"8";"1";66700000.0;67700000.0;6538;"false";6538
116;"16";"9";"1";66700000.0;67700000.0;6538;"false";6538
117;"17";"10";"1";66700000.0;67700000.0;6538;"false";6538
118;"18";"11";"1";66720000.0;67750000.0;6538;"false";6538
119;"19";"12";"1";66700000.0;67720000.0;6538;"false";6538
120;"20";"13";"1";66680000.0;67720000.0;6538;"false";6538
121;"21";"14";"1";66680000.0;67720000.0;6538;"false";6538
122;"22";"15";"1";66680000.0;67720000.0;6538;"false";6538
123;"23";"16";"1";66680000.0;67720000.0;6538;"false";6538
124;"24";"9";"2";66900000.0;67700000.0;6538;"false";6538
125;"25";"17";"4";66700000.0;67500000.0;6538;"false";6538
126;"1";"1";"1";66700000.0;67700000.0;6538;"false";6538
127;"2";"1";"2";66900000.0;67700000.0;6538;"false";6538
128;"3";"1";"3";66500000.0;67500000.0;6538;"false";6538
129;"4";"1";"4";66700000.0;67500000.0;6538;"false";6538
130;"5";"2";"1";66700000.0;67720000.0;6538;"false";6538
131;"6";"2";"2";66900000.0;67700000.0;6538;"false";6538
132;"7";"2";"5";66620000.0;67480000.0;6538;"false";6538
133;"8";"2";"3";66500000.0;67500000.0;6538;"false";6538
134;"9";"3";"1";66700000.0;67720000.0;6538;"false";6538
135;"10";"3";"2";66900000.0;67700000.0;6538;"false";6538
136;"11";"4";"1";66700000.0;67720000.0;6538;"false";6538
137;"12";"5";"1";66700000.0;67720000.0;6538;"false";6538
138;"13";"6";"1";66670000.0;67730000.0;6538;"false";6538
